Entity,Code,Year,Commodity Balances - Livestock and Fish Primary Equivalent - Pelagic Fish - 2763 - Production - 5510 - tonnes,Commodity Balances - Livestock and Fish Primary Equivalent - Crustaceans - 2765 - Production - 5510 - tonnes,Commodity Balances - Livestock and Fish Primary Equivalent - Cephalopods - 2766 - Production - 5510 - tonnes,Commodity Balances - Livestock and Fish Primary Equivalent - Demersal Fish - 2762 - Production - 5510 - tonnes,Commodity Balances - Livestock and Fish Primary Equivalent - Freshwater Fish - 2761 - Production - 5510 - tonnes,"Commodity Balances - Livestock and Fish Primary Equivalent - Molluscs, Other - 2767 - Production - 5510 - tonnes","Commodity Balances - Livestock and Fish Primary Equivalent - Marine Fish, Other - 2764 - Production - 5510 - tonnes"
Afghanistan,AFG,1961,,,,,300.0,,
Afghanistan,AFG,1962,,,,,300.0,,
Afghanistan,AFG,1963,,,,,300.0,,
Afghanistan,AFG,1964,,,,,300.0,,
Afghanistan,AFG,1965,,,,,300.0,,
Afghanistan,AFG,1966,,,,,300.0,,
Afghanistan,AFG,1967,,,,,400.0,,
Afghanistan,AFG,1968,,,,,400.0,,
Afghanistan,AFG,1969,,,,,460.0,,
Afghanistan,AFG,1970,,,,,460.0,,
Afghanistan,AFG,1971,,,,,560.0,,
Afghanistan,AFG,1972,,,,,560.0,,
Afghanistan,AFG,1973,,,,,560.0,,
Afghanistan,AFG,1974,,,,,560.0,,
Afghanistan,AFG,1975,,,,,660.0,,
Afghanistan,AFG,1976,,,,,770.0,,
Afghanistan,AFG,1977,,,,,770.0,,
Afghanistan,AFG,1978,,,,,770.0,,
Afghanistan,AFG,1979,,,,,770.0,,
Afghanistan,AFG,1980,,,,,870.0,,
Afghanistan,AFG,1981,,,,,870.0,,
Afghanistan,AFG,1982,,,,,870.0,,
Afghanistan,AFG,1983,,,,,970.0,,
Afghanistan,AFG,1984,,,,,970.0,,
Afghanistan,AFG,1985,,,,,970.0,,
Afghanistan,AFG,1986,,,,,970.0,,
Afghanistan,AFG,1987,,,,,1170.0,,
Afghanistan,AFG,1988,,,,,1170.0,,
Afghanistan,AFG,1989,,,,,1170.0,,
Afghanistan,AFG,1990,,,,,1400.0,,
Afghanistan,AFG,1991,,,,,1400.0,,
Afghanistan,AFG,1992,,,,,1500.0,,
Afghanistan,AFG,1993,,,,,1500.0,,
Afghanistan,AFG,1994,,,,,1600.0,,
Afghanistan,AFG,1995,,,,,1600.0,,
Afghanistan,AFG,1996,,,,,1600.0,,
Afghanistan,AFG,1997,,,,,1550.0,,
Afghanistan,AFG,1998,,,,,1500.0,,
Afghanistan,AFG,1999,,,,,1500.0,,
Afghanistan,AFG,2000,,,,,1300.0,,
Afghanistan,AFG,2001,,,,,1250.0,,
Afghanistan,AFG,2002,,,,,1350.0,,
